id|English|Pinglish|Farsi|Category|Difficulty
436|Journalism|ruznāmeh-negāri|روزنامه‌نگاری|Fields of Study|Easy
437|Library Science|ketābshenāsi|کتاب‌شناسی|Fields of Study|Easy
438|Linguistics|zabānshenāsi|زبان‌شناسی|Fields of Study|Easy
439|Mathematics|riāzi|ریاضی|Fields of Study|Easy
440|Medicine|pezeshki|پزشکی|Fields of Study|Easy
441|Middle Eastern Studies|khāvar-miāneh shenāsi|خاور‌میانه‌شناسی|Fields of Study|Easy
442|Persian|fārsi|فارسی|Fields of Study|Easy
443|Philosophy|felsefeh|فلسفه|Fields of Study|Easy
444|Physics|fizik|فیزیک|Fields of Study|Easy
445|Political Science, Government|‘olum-e siāsi|علوم سیاسی|Fields of Study|Easy
446|Psychology|ravānshenāsi|روان‌شناسی|Fields of Study|Easy
447|Sociology|jām’eh shenāsi|جامعه‌شناسی|Fields of Study|Easy
448|University|dāneshgāh|دانشگاه|On Campus|Easy
449|School|madreseh|مدرسه|On Campus|Easy
450|High School|dabirestān|دبیرستان|On Campus|Easy
451|Elementary School|dabestān|دبستان|On Campus|Easy
452|Student (college)|dāneshjū|دانشجو|On Campus|Easy
453|Student (pre-college)|dāneshāmuz|دانش آموز|On Campus|Easy
454|Bachelor’s degree|lisāns|لیسانس|On Campus|Easy
455|Master’s degree|foq-e lisāns|فوق لیسانس|On Campus|Easy
456|Doctorate|doktorā|دکترا|On Campus|Easy
457|Lesson|dars|درس|On Campus|Easy
458|Major|reshteh|رشته|On Campus|Easy
459|Class|kelās|کلاس|On Campus|Easy
460|Room|otāq|اتاق|On Campus|Easy
461|Book|ketāb|کتاب|On Campus|Easy
462|Pen|qalam|قلم|On Campus|Easy
463|Pen|khodkār|خودکار|On Campus|Easy
464|Pencil|medād|مداد|On Campus|Easy
465|Blackboard|takhte siāh|تخته‌ سیاه|On Campus|Easy
466|Chalk|gach|گچ|On Campus|Easy
467|Notebook / Office|daftar|دفتر|On Campus|Easy
468|Paper|kāghez|کاغذ|On Campus|Easy
469|Bag, briefcase|kif|کیف|On Campus|Easy
470|Teacher|mo’allem|معلَم|On Campus|Easy
471|Professor|ostād|استاد|On Campus|Easy
472|Doctor (i.e., Ph.D.)|doktor|دکتر|On Campus|Easy
473|Okay|bāsheh|باشه|On Campus|Easy
474|Okay (more formal)|chashp|چشپ|On Campus|Easy
475|To read|khāndan|خواندن|On Campus|Easy
476|He reads|mi-khānad|می‌خواند|On Campus|Easy
477|To study (i.e. review lessons)|dars khāndan|درس خواندن|On Campus|Easy
478|To study (a subject)|khāndan|خواندن|On Campus|Easy
479|We study Persian|fārsi mi-khānim|فارسی می‌خوانیم|On Campus|Easy
480|To read aloud|boland khāndan|بلند خواندن|On Campus|Easy
481|To repeat|tekrār kardan|تکرار کردن|On Campus|Easy
482|To say|goftan|گفتن|On Campus|Easy
483|They say|mi-gūyand|می‌گویند|On Campus|Easy
484|Time|vaqt|وقت|Time|Easy
485|Hour / clock|sā’at|ساعت|Time|Easy
486|Now|hālā|حالا|Time|Easy
487|Now|alān|الآن|Time|Easy
488|Approximately|taqriban|تقریباً|Time|Easy
489|Exactly|dorost|درست|Time|Easy
490|What time is it?|sā’at chand-e?|ساعت چنده؟|Time|Easy
491|It is 4:00|sā’at-e chahār-e|ساعت چهاره|Time|Easy
492|Minute|daqiqeh|دقیقه|Time|Easy
493|Second|sānieh|ثانیه|Time|Easy
494|Half|nim|نیم|Time|Easy
495|Quarter|rob’|ربع|Time|Easy
496|Morning|sobh|صبح|Time|Easy
497|This morning|emruz sobh|امروز صبح|Time|Easy
498|Night|shab|شب|Time|Easy
499|Tonight|emshab|امشب|Time|Easy
500|Late afternoon / early evening|‘asr|عصر|Time|Easy
501|Afternoon|ba’d az zohr|بعد از ظهر|Time|Easy
502|Week|hafteh|هفته|Time|Easy
503|Next week|hafteh-ye digar|هفتهٔ دیگر|Time|Easy
504|Last week|hafteh-ye pish|هفتهٔ پیش|Time|Easy
505|Per week|hafteh-i|هفته‌ای|Time|Easy
506|Day|ruz|روز|Time|Easy
507|Today|emruz|امروز|Time|Easy
508|Tomorrow|fardā|فردا|Time|Easy
509|Yesterday|diruz|دیروز|Time|Easy
510|Day before yesterday|pariruz|پریروز|Time|Easy
511|Per day|ruzi|روزی|Time|Easy
512|Every day|har ruz|هر روز|Time|Easy
513|Month|māh|ماه|Time|Easy
514|Year|sāl|سال|Time|Easy
515|Next year|sāl-e digar|سال دیگر|Time|Easy
516|Last year|pārsāl|پارسال|Time|Easy
517|invertebrate|bimohre|بی‌مهره|Animal Classes|Easy
518|bird|parande|پرنده|Animal Classes|Easy
519|mammal|pestândâr|پستاندار|Animal Classes|Easy
520|insect|hashare|حشره|Animal Classes|Easy
521|reptile|khazande|خزنده|Animal Classes|Easy
522|crustacean|sakhtpust|سخت‌پوست|Animal Classes|Easy
523|fish|mâhi|ماهی|Animal Classes|Easy
524|vertebrate|mohredâr|مهره‌دار|Animal Classes|Easy
525|mollusk|narmtan|نرم‌تن|Animal Classes|Easy
526|duck|ordak|اردک|Birds|Easy
527|nightingale|bolbol|بلبل|Birds|Easy
528|turkey|bughalamun|بوقلمون|Birds|Easy
529|penguin|panguan|پنگوئن|Birds|Easy
530|owl|joghd|جغد|Birds|Easy
531|chick|juje|جوجه|Birds|Easy
532|rooster|khorus|خروس|Birds|Easy
533|bat|khoffâsh|خفاش|Birds|Easy
534|woodpecker|dârkub|دارکوب|Birds|Easy
535|hawk|shâhin|شاهین|Birds|Easy
536|ostrich|shotormorgh|شترمرغ|Birds|Easy
537|peacock|tâvus|طاووس|Birds|Easy
538|parrot|tuti|طوطی|Birds|Easy
539|eagle|oghâb|عقاب|Birds|Easy
540|goose|ghâz|غاز|Birds|Easy
541|pheasant|gharghâvol|قرقاول|Birds|Easy
542|canary|ghanâri|قناری|Birds|Easy
543|swan|ghu|قو|Birds|Easy
544|pigeon|kabutar|کبوتر|Birds|Easy
545|sparrow|gonjeshk|گنجشک|Birds|Easy
546|crow|kalâgh|کلاغ|Birds|Easy
547|stork|laklak|لک‌لک|Birds|Easy
548|hen|morgh|مرغ|Birds|Easy
549|butterfly|parvâne|پروانه|Insects|Easy
550|mosquito|pashe|پشه|Insects|Easy
551|cricket|jirjirak|جیرجیرک|Insects|Easy
552|bee, wasp|zanbur|زنبور|Insects|Easy
553|dragonfly|sanjâghak|سنجاقک|Insects|Easy
554|cockroach|susk|سوسک|Insects|Easy
555|ladybug|kafshduzak|کفش‌دوزک|Insects|Easy
556|fly|magas|مگس|Insects|Easy
557|grasshopper|malakh|ملخ|Insects|Easy
558|ant|murche|مورچه|Insects|Easy
559|termite|muriyâne|موریانه|Insects|Easy
560|swordfish|arremâhi|اره‌ماهی|Marine Animals|Easy
561|hippopotamus|asb-e âbi|اسب آبی|Marine Animals|Easy
562|sea horse|asb-e daryâyi|اسب دریایی|Marine Animals|Easy
563|crocodile|temsâh|تمساح|Marine Animals|Easy
564|crab|kharchang|خرچنگ|Marine Animals|Easy
565|dolphin|dolfin|دلفین|Marine Animals|Easy
566|leech|zâlu|زالو|Marine Animals|Easy
567|starfish|setâre-ye daryâyi|ستاره‌ی دریایی|Marine Animals|Easy
568|alligator|susmâr|سوسمار|Marine Animals|Easy
569|oyster|sadaf|صدف|Marine Animals|Easy
570|frog|ghurbâghe|قورباغه|Marine Animals|Easy
571|shark|kuse|کوسه|Marine Animals|Easy
572|turtle|lâkposht|لاک‌پشت|Marine Animals|Easy
573|eel|mârmâhi|مارماهی|Marine Animals|Easy
574|shrimp|meygu|میگو|Marine Animals|Easy
575|whale|nahang|نهنگ|Marine Animals|Easy
576|octopus|hashtpâ|هشت‌پا|Marine Animals|Easy
577|horse|asb|اسب|Land Animals|Easy
578|gazelle|âhu|آهو|Land Animals|Easy
579|tiger|babr|ببر|Land Animals|Easy
580|lamb|barre|برّه|Land Animals|Easy
581|goat|boz|بز|Land Animals|Easy
582|panther|palang|پلنگ|Land Animals|Easy
583|hedgehog|jujetighi|جوجه‌تیغی|Land Animals|Easy
584|snail|halazun|حلزون|Land Animals|Easy
585|donkey|khar|خر|Land Animals|Easy
586|bear|khers|خرس|Land Animals|Easy
587|rabbit|khargush|خرگوش|Land Animals|Easy
588|pig|khuk|خوک|Land Animals|Easy
589|fox|rubâh|روباه|Land Animals|Easy
590|giraffe|zarrâfe|زرافه|Land Animals|Easy
591|dog|sag|سگ|Land Animals|Easy
592|squirrel|sanjâb|سنجاب|Land Animals|Easy
593|camel|shotor|شتر|Land Animals|Easy
594|lion|shir|شیر|Land Animals|Easy
595|scorpion|aghrab|عقرب|Land Animals|Easy
596|spider|ankabut|عنکبوت|Land Animals|Easy
597|elephant|fil|فیل|Land Animals|Easy
598|kangaroo|kângoro|کانگورو|Land Animals|Easy
599|worm|kerm|کرم|Land Animals|Easy
600|hyena|kaftâr|کفتار|Land Animals|Easy
601|cow|gâv|گاو|Land Animals|Easy
602|cat|gorbe|گربه|Land Animals|Easy
603|wolf|gorg|گرگ|Land Animals|Easy
604|zebra|gurekhar|گورخر|Land Animals|Easy
605|deer|gavazn|گوزن|Land Animals|Easy
606|calf|gusâle|گوساله|Land Animals|Easy
607|sheep|gusfand|گوسفند|Land Animals|Easy
608|snake|mâr|مار|Land Animals|Easy
609|lizard|mârmulak|مارمولک|Land Animals|Easy
610|mouse|mush|موش|Land Animals|Easy
611|monkey|meymun|میمون|Land Animals|Easy
612|centipede|hezârpâ|هزارپا|Land Animals|Easy
613|leopard|yuz(palang)|یوز(پلنگ)|Land Animals|Easy
614|yes|bale|بله|Basic Phrases|Easy
615|no|na|نه|Basic Phrases|Easy
616|please|lotfan|لطفا|Basic Phrases|Easy
617|Thanks|mersi|مرسی|Basic Phrases|Easy
618|Thanks|mamnun|ممنون|Basic Phrases|Easy
619|Many thanks|kheyli mamnun|خیلی ممنون|Basic Phrases|Easy
620|You're welcome|khwâhesh mikonam|خواهش می‌کنم|Basic Phrases|Easy
621|Excuse me|bebakhshid|ببخشید|Basic Phrases|Easy
622|Excuse me|maøzerat mikhwâham|بعذرت می‌خواهم|Basic Phrases|Easy
623|I'm sorry|motaøsef-am|متأسف‌ام|Basic Phrases|Easy
624|Hello, Hi|salâm|سلام|Meeting People|Easy
625|Good day|ruz khosh|روز خوش|Meeting People|Easy
626|Good day|ruz be kheyr|روز به خیر|Meeting People|Easy
627|Good morning|sobh be kheyr|صبح به خیر|Meeting People|Easy
628|Good noon|zohr be kheyr|ظهر به خیر|Meeting People|Easy
629|Good afternoon|baød-az-zohr be kheyr|بعدازظهر به خیر|Meeting People|Easy
630|Good evening|asr be kheyr|عصر به خیر|Meeting People|Easy
631|Good night|shab be kheyr|شب به خیر|Meeting People|Easy
632|Good night|shab khosh|شب خوش|Meeting People|Easy
633|Have a good day|Ruz-e khub-i dâshte bâshid|روز خوبی داشته باشید|Meeting People|Easy
634|Have a good day (familiar)|Ruz-e khub-i dâshte bâshi|روز خوبی داشته باشی|Meeting People|Easy
635|Have a good night|shab-e khub-i dâshte bâshid|شب خوبی داشته باشید|Meeting People|Easy
636|Have a good night (familiar)|shab-e khub-i dâshte bâshi|شب خوبی داشته باشی|Meeting People|Easy
637|goodbye|Khodâ hâfez|خدا حافظ|Meeting People|Easy
638|goodbye|Khodâ negahdâr|خدا نگه‌دار|Meeting People|Easy
639|see you later (formal)|Baødan mibinam-etân|بعدا می‌بینم‌تان|Meeting People|Easy
640|See you soon (formal)|Be zudi mibinam-etân|به زودی می‌بینم‌تان|Meeting People|Easy
641|How are you? (formal)|hâl-etân che towr ast?|حال‌تان چه طور است؟|Meeting People|Easy
642|How are you? (familiar)|hâl-at che towr ast?|حال‌ات چه طور است؟|Meeting People|Easy
642|How are you? (familiar)|che towr-i?|چه طوری؟|Meeting People|Easy
643|How are things?, How’s life|che khabar?|چه خبر؟|Meeting People|Easy
644|I'm fine|khub-am|خوب‌ام|Meeting People|Easy
645|so-so|bad nistam|بد نیستم|Meeting People|Easy
646|What is your name? (formal)|esm-etân chi'st?|اسم‌تان چی‌ست؟|Meeting People|Easy
647|What is your name? (familiar)|esm-at chi'st?|اسم‌ات چی‌ست؟|Meeting People|Easy
648|My name is ——|—— hastam|—— هستم|Meeting People|Easy
649|Nice to meet you|khoshbakht-am|خوشبخت‌ام|Meeting People|Easy
650|I don't understand|nemifahmam|نمی‌فهمم|Problems|Easy
651|I don't understand|motevajjeh nemishavam|متوجه نمی‌شوم|Problems|Easy
652|I have forgotten|farâmush kardeam|فراموش کرده‌ام|Problems|Easy
653|Please speak more slowly|Lotfan âhestetar harf bezanid|لطفا آهسته‌تر حرف بزنید|Problems|Easy
654|I can't speak Persian [well]|nemitavânam [khub] Fârsi harf bezanam|نمی‌توانم [خوب] فارسی حرف بزنم|Problems|Easy
655|Can you speak English?|mitavânid Engelisi harf bezanid?|می‌توانید انگلیسی حرف بزنید؟|Problems|Easy
656|Is there someone here who speaks English?|injâ kas-i Engelisi midânad?|اینجا کسی انگلیسی می‌داند؟|Problems|Easy
657|Look out!|movâzeb bâsh!|مواظب باش!|Problems|Easy
658|Help!|komak!|کمک!|Problems|Easy
659|Leave me alone!|tanhâ-yam begozâr|تنهایم بگذار|Problems|Easy
660|Don't touch me!|be man dast nazan|به من دست نزن|Problems|Easy
661|I'll call the police|zang mizanam be polis|زنگ می‌زنم به پلیس|Problems|Easy
662|Police!|polis|پلیس|Problems|Easy
663|Stop! thief!|âhây dozd!|آهای دزد|Problems|Easy
664|I need your help|be komak-etân ehtiyâj dâram|به کمک‌تان احتیاج دارم|Problems|Easy
665|It's an emergency|zaruri ast|ضروری است|Problems|Easy
666|It's an emergency|fowri ast|فوری است|Problems|Easy
667|I'm lost|gom shodeam|گم شده‌ام|Problems|Easy
668|Go away!|borow kenâr|برو کنار|Problems|Easy
669|I lost my bag|sâk-am râ gom kardeam|ساک‌ام را گم کرده‌ام|Problems|Easy
670|I lost my wallet/purse|kif-am râ gom kardeam|کیف‌ام را گم کرده‌ام|Problems|Easy
671|I'm sick|hâl-am bad ast|حال‌ام بد است|Problems|Easy
672|I've been injured|zakhmi shodeam|زخمی شده‌ام|Problems|Easy
673|I need a doctor|be doktor ehtiyâj dâram|به دکتر احتیاج دارم|Problems|Easy
674|Can I use your phone?|mishavad az telefon-etân estefâde konam?|می‌شود از تلفن‌تان استفاده کنم؟|Problems|Easy
675|bone|ostekhwân|استخوان|Body|Easy
676|body|badan|بدن|Body|Easy
677|back|posht|پشت|Body|Easy
678|side|pahlu|پهلو|Body|Easy
679|skin|pust|پوست|Body|Easy
680|rib|dande|دنده|Body|Easy
681|vessel|rag|رگ|Body|Easy
682|intestine|rude|روده|Body|Easy
683|chest|sine|سینه|Body|Easy
684|lung|shosh|شش|Body|Easy
685|abdomen|shekam|شکم|Body|Easy
686|nerve|asab|عصب|Body|Easy
687|heart|ghalb|قلب|Body|Easy
688|liver|kabed|کبد|Body|Easy
689|kidney|kolye|کلیه|Body|Easy
690|waist|kamar|کمر|Body|Easy
691|muscle|mâhiche|ماهیچه|Body|Easy
692|bladder|massâne|مثانه|Body|Easy
693|stomach|meøde|معده|Body|Easy
694|brain|maghz|مغز|Body|Easy
695|joint|mafsal|مفصل|Body|Easy
696|navel|nâf|ناف|Body|Easy
697|eyebrow|abru|ابرو|Body|Easy
698|nose|bini|بینی|Body|Easy
699|eyelid|pelk|پلک|Body|Easy
700|forehead|pishâni|پیشانی|Body|Easy
701|skull|jomjome|جمجمه|Body|Easy
702|chin|châne|چانه|Body|Easy
703|eye|cheshm|چشم|Body|Easy
704|larynx|hanjare|حنجره|Body|Easy
705|tooth|dandân|دندان|Body|Easy
706|mouth|dahân|دهان|Body|Easy
707|beard|rish|ریش|Body|Easy
708|tongue|zabân|زبان|Body|Easy
709|mustache|sebil|سبیل|Body|Easy
710|head|sar|سر|Body|Easy
711|face|surat|صورت|Body|Easy
712|jaw|fak|فک|Body|Easy
713|neck|gardan|گردن|Body|Easy
714|throat|galu|گلو|Body|Easy
715|ear|gush|گوش|Body|Easy
716|cheek|gune|گونه|Body|Easy
717|lip|lab|لب|Body|Easy
718|cheek|lopp|لپ|Body|Easy
719|gum|lase|لثه|Body|Easy
720|eyelash|mozhe|مژه|Body|Easy
721|hair|mu|مو|Body|Easy
722|elbow|ârenj|آرنج|Body|Easy
723|finger|angosht|انگشت|Body|Easy
724|arm|bâzu|بازو|Body|Easy
725|hand|dast|دست|Body|Easy
726|armpit|zirbaghal|زیربغل|Body|Easy
727|forearm|sâed|ساعد|Body|Easy
728|shoulder|shâne|شانه|Body|Easy
729|thumb|shast|شست|Body|Easy
730|palm|kaf-e dast|کف دست|Body|Easy
731|wrist|moch|مچ|Body|Easy
732|nail|nâkhon|ناخن|Body|Easy
733|toe|angosht-e pâ|انگشت پا|Body|Easy
734|foot|pâ|پا|Body|Easy
735|heel|pâshne|پاشنه|Body|Easy
736|thigh|rân|ران|Body|Easy
737|knee|zânu|زانو|Body|Easy
738|calf|sâgh|ساق|Body|Easy
739|ankle|ghuzak|قوزک|Body|Easy
740|sole|kaf-e pâ|کف پا|Body|Easy
741|color|rang|رنگ|Colors|Easy
742|sky blue|âbi-ye âsemâni|آبی آسمانی|Colors|Easy
743|blue|âbi|آبی|Colors|Easy
744|brick red|âjori|آجری|Colors|Easy
745|purple|arghavâni|ارغوانی|Colors|Easy
746|beige|bezh|بژ|Colors|Easy
747|violet|banafsh|بنفش|Colors|Easy
748|gray|khâkestari|خاکستری|Colors|Easy
749|khaki|khâki|خاکی|Colors|Easy
750|date brown|khormâyi|خرمایی|Colors|Easy
751|yellow|zard|زرد|Colors|Easy
752|crimson|zereshki|زرشکی|Colors|Easy
753|olive|zeytuni|زیتونی|Colors|Easy
754|green|sabz|سبز|Colors|Easy
755|vivid red|sorkh|سرخ|Colors|Easy
756|navy blue|sormeyi|سرمه‌ای|Colors|Easy
757|white|sefid|سفید|Colors|Easy
758|black|siyâh|سیاه|Colors|Easy
759|claret|sharâbi|شرابی|Colors|Easy
760|chocolate brown|shokolâti|شکلاتی|Colors|Easy
761|milky|shiri|شیری|Colors|Easy
762|pink|surati|صورتی|Colors|Easy
763|gold|talâyi|طلایی|Colors|Easy
764|turquoise|firuzeyi|فیروزه‌ای|Colors|Easy
765|red|ghermez|قرمز|Colors|Easy
766|brown|ghahveyi|قهوه‌ای|Colors|Easy
767|cream|kerem|کرم|Colors|Easy
768|azure|lâjevardi|لاجوردی|Colors|Easy
769|lemon|limuyi|لیمویی|Colors|Easy
770|black|meshki|مشکی|Colors|Easy
771|orange|nârenji|نارنجی|Colors|Easy
772|silver|noghreyi|نقره‌ای|Colors|Easy
773|indigo|nili|نیلی|Colors|Easy
774|ruby|yâghuti|یاقوتی|Colors|Easy
775|jade green|yashmi|یشمی|Colors|Easy
776|north|shomâl|شمال|Directions|Easy
777|south|jonub|جنوب|Directions|Easy
778|east|shargh|شرق|Directions|Easy
779|west|gharb|غرب|Directions|Easy
780|northeast|shomâl-e sharghi|شمال شرقی|Directions|Easy
781|northwest|shomâl-e gharbi|شمال غربی|Directions|Easy
782|southeast|jonub-e sharghi|جنوب شرقی|Directions|Easy
783|southwest|jonub-e gharbi|جنوب غربی|Directions|Easy
