English,Pinglish,Farsi,Category,Difficulty
owl,joghd,جغد,Birds,
chick,juje,جوجه,Birds,
rooster,khorus,خروس,Birds,
bat,khoffâsh,خفاش,Birds,
woodpecker,dârkub,دارکوب,Birds,
hawk,shâhin,شاهین,Birds,
ostrich,shotormorgh,شترمرغ,Birds,
peacock,tâvus,طاووس,Birds,
parrot,tuti,طوطی,Birds,
eagle,oghâb,عقاب,Birds,
goose,ghâz,غاز,Birds,
pheasant,gharghâvol,قرقاول,Birds,
canary,ghanâri,قناری,Birds,
swan,ghu,قو,Birds,
pigeon,kabutar,کبوتر,Birds,
sparrow,gonjeshk,گنجشک,Birds,
crow,kalâgh,کلاغ,Birds,
stork,laklak,لک‌لک,Birds,
hen,morgh,مرغ,Birds,
butterfly,parvâne,پروانه,Insects,
mosquito,pashe,پشه,Insects,
cricket,jirjirak,جیرجیرک,Insects,
"bee, wasp",zanbur,زنبور,Insects,
dragonfly,sanjâghak,سنجاقک,Insects,
cockroach,susk,سوسک,Insects,
ladybug,kafshduzak,کفش‌دوزک,Insects,
fly,magas,مگس,Insects,
grasshopper,malakh,ملخ,Insects,
ant,murche,مورچه,Insects,
termite,muriyâne,موریانه,Insects,
swordfish,arremâhi,اره‌ماهی,Marine Animals,
hippopotamus,asb-e âbi,اسب آبی,Marine Animals,
sea horse,asb-e daryâyi,اسب دریایی,Marine Animals,
crocodile,temsâh,تمساح,Marine Animals,
crab,kharchang,خرچنگ,Marine Animals,
dolphin,dolfin,دلفین,Marine Animals,
leech,zâlu,زالو,Marine Animals,
starfish,setâre-ye daryâyi,ستاره‌ی دریایی,Marine Animals,
alligator,susmâr,سوسمار,Marine Animals,
oyster,sadaf,صدف,Marine Animals,
frog,ghurbâghe,قورباغه,Marine Animals,
shark,kuse,کوسه,Marine Animals,
turtle,lâkposht,لاک‌پشت,Marine Animals,
eel,mârmâhi,مارماهی,Marine Animals,
shrimp,meygu,میگو,Marine Animals,
whale,nahang,نهنگ,Marine Animals,
octopus,hashtpâ,هشت‌پا,Marine Animals,
horse,asb,اسب,Land Animals,
gazelle,âhu,آهو,Land Animals,
tiger,babr,ببر,Land Animals,
lamb,barre,برّه,Land Animals,
goat,boz,بز,Land Animals,
panther,palang,پلنگ,Land Animals,
hedgehog,jujetighi,جوجه‌تیغی,Land Animals,
snail,halazun,حلزون,Land Animals,
donkey,khar,خر,Land Animals,
bear,khers,خرس,Land Animals,
rabbit,khargush,خرگوش,Land Animals,
pig,khuk,خوک,Land Animals,
fox,rubâh,روباه,Land Animals,
giraffe,zarrâfe,زرافه,Land Animals,
dog,sag,سگ,Land Animals,
squirrel,sanjâb,سنجاب,Land Animals,
camel,shotor,شتر,Land Animals,
lion,shir,شیر,Land Animals,
scorpion,aghrab,عقرب,Land Animals,
spider,ankabut,عنکبوت,Land Animals,
elephant,fil,فیل,Land Animals,
kangaroo,kângoro,کانگورو,Land Animals,
worm,kerm,کرم,Land Animals,
hyena,kaftâr,کفتار,Land Animals,
cow,gâv,گاو,Land Animals,
cat,gorbe,گربه,Land Animals,
wolf,gorg,گرگ,Land Animals,
zebra,gurekhar,گورخر,Land Animals,
deer,gavazn,گوزن,Land Animals,
calf,gusâle,گوساله,Land Animals,
sheep,gusfand,گوسفند,Land Animals,
snake,mâr,مار,Land Animals,
lizard,mârmulak,مارمولک,Land Animals,
mouse,mush,موش,Land Animals,
monkey,meymun,میمون,Land Animals,
centipede,hezârpâ,هزارپا,Land Animals,
leopard,yuz(palang),یوز(پلنگ),Land Animals,
yes,bale,بله,Basic Phrases,
no,na,نه,Basic Phrases,
please,lotfan,لطفا,Basic Phrases,
Thanks,"mamnun
mersi","ممنون
مرسی",Basic Phrases,
Many thanks,kheyli mamnun,خیلی ممنون,Basic Phrases,
You're welcome,khwâhesh mikonam,خواهش می‌کنم,Basic Phrases,
Excuse me,"bebakhshid
maøzerat mikhwâham","ببخشید
معذرت می‌خواهم",Basic Phrases,
I'm sorry,motaøsef-am,متأسف‌ام,Basic Phrases,
"Hello, Hi",salâm,سلام,Meeting People,
Good day,"ruz be kheyr
ruz khosh","روز به خیر
روز خوش",Meeting People,
Good morning,sobh be kheyr,صبح به خیر,Meeting People,
Good noon,zohr be kheyr,ظهر به خیر,Meeting People,
Good afternoon,baød-az-zohr be kheyr,بعدازظهر به خیر,Meeting People,
Good evening,asr be kheyr,عصر به خیر,Meeting People,
Good night,"shab be kheyr
shab khosh","شب به خیر
شب خوش",Meeting People,
Have a good day,Ruz-e khub-i dâshte bâshid,روز خوبی داشته باشید,Meeting People,
Have a good day (familiar),Ruz-e khub-i dâshte bâshi,روز خوبی داشته باشی,Meeting People,
Have a good night,shab-e khub-i dâshte bâshid,شب خوبی داشته باشید,Meeting People,
Have a good night (familiar),shab-e khub-i dâshte bâshi,شب خوبی داشته باشی,Meeting People,
goodbye,"Khodâ hâfez
Khodâ negahdâr","خدا حافظ
خدا نگه‌دار",Meeting People,
see you later (formal),Baødan mibinam-etân,بعدا می‌بینم‌تان,Meeting People,
See you soon (formal),Be zudi mibinam-etân,به زودی می‌بینم‌تان,Meeting People,
How are you? (formal),hâl-etân che towr ast?,حال‌تان چه طور است؟,Meeting People,
How are you? (familiar),"hâl-at che towr ast?
che towr-i?","حال‌ات چه طور است؟
چه طوری؟",Meeting People,
"How are things?, How’s life",che khabar?,چه خبر؟,Meeting People,
I'm fine,khub-am,خوب‌ام,Meeting People,
so-so,bad nistam,بد نیستم,Meeting People,
What is your name? (formal),esm-etân chi'st?,اسم‌تان چی‌ست؟,Meeting People,
What is your name? (familiar),esm-at chi'st?,اسم‌ات چی‌ست؟,Meeting People,
My name is ——,—— hastam,—— هستم,Meeting People,
Nice to meet you,khoshbakht-am,خوشبخت‌ام,Meeting People,
I don't understand,"nemifahmam
motevajjeh nemishavam","نمی‌فهمم
متوجه نمی‌شوم",Problems,
I have forgotten,farâmush kardeam,فراموش کرده‌ام,Problems,
Please speak more slowly,Lotfan âhestetar harf bezanid,لطفا آهسته‌تر حرف بزنید,Problems,
I can't speak Persian [well],nemitavânam [khub] Fârsi harf bezanam,نمی‌توانم [خوب] فارسی حرف بزنم,Problems,
Can you speak English?,mitavânid Engelisi harf bezanid?,می‌توانید انگلیسی حرف بزنید؟,Problems,
Is there someone here who speaks English?,injâ kas-i Engelisi midânad?,اینجا کسی انگلیسی می‌داند؟,Problems,
Look out!,movâzeb bâsh!,مواظب باش!,Problems,
Help!,komak!,کمک!,Problems,
Leave me alone!,tanhâ-yam begozâr,تنهایم بگذار,Problems,
Don't touch me!,be man dast nazan,به من دست نزن,Problems,
I'll call the police,zang mizanam be polis,زنگ می‌زنم به پلیس,Problems,
Police!,polis,پلیس,Problems,
Stop! thief!,âhây dozd!,آهای دزد,Problems,
I need your help,be komak-etân ehtiyâj dâram,به کمک‌تان احتیاج دارم,Problems,
It's an emergency,"zaruri ast
fowri ast","ضروری است
فوری است",Problems,
I'm lost,gom shodeam,گم شده‌ام,Problems,
Go away!,borow kenâr,برو کنار,Problems,
I lost my bag,sâk-am râ gom kardeam,ساک‌ام را گم کرده‌ام,Problems,
I lost my wallet/purse,kif-am râ gom kardeam,کیف‌ام را گم کرده‌ام,Problems,
I'm sick,hâl-am bad ast,حال‌ام بد است,Problems,
I've been injured,zakhmi shodeam,زخمی شده‌ام,Problems,
I need a doctor,be doktor ehtiyâj dâram,به دکتر احتیاج دارم,Problems,
Can I use your phone?,mishavad az telefon-etân estefâde konam?,می‌شود از تلفن‌تان استفاده کنم؟,Problems,
bone,ostekhwân,استخوان,Body,
body,badan,بدن,Body,
back,posht,پشت,Body,
side,pahlu,پهلو,Body,
skin,pust,پوست,Body,
rib,dande,دنده,Body,
vessel,rag,رگ,Body,
intestine,rude,روده,Body,
chest,sine,سینه,Body,
lung,shosh,شش,Body,
abdomen,shekam,شکم,Body,
nerve,asab,عصب,Body,
heart,ghalb,قلب,Body,
liver,kabed,کبد,Body,
kidney,kolye,کلیه,Body,
waist,kamar,کمر,Body,
muscle,mâhiche,ماهیچه,Body,
bladder,massâne,مثانه,Body,
stomach,meøde,معده,Body,
brain,maghz,مغز,Body,
joint,mafsal,مفصل,Body,
navel,nâf,ناف,Body,
eyebrow,abru,ابرو,Body,
nose,bini,بینی,Body,
eyelid,pelk,پلک,Body,
forehead,pishâni,پیشانی,Body,
skull,jomjome,جمجمه,Body,
chin,châne,چانه,Body,
eye,cheshm,چشم,Body,
larynx,hanjare,حنجره,Body,
tooth,dandân,دندان,Body,
mouth,dahân,دهان,Body,
beard,rish,ریش,Body,
tongue,zabân,زبان,Body,
mustache,sebil,سبیل,Body,
head,sar,سر,Body,
face,surat,صورت,Body,
jaw,fak,فک,Body,
neck,gardan,گردن,Body,
throat,galu,گلو,Body,
ear,gush,گوش,Body,
cheek,gune,گونه,Body,
lip,lab,لب,Body,
cheek,lopp,لپ,Body,
gum,lase,لثه,Body,
eyelash,mozhe,مژه,Body,
hair,mu,مو,Body,
elbow,ârenj,آرنج,Body,
finger,angosht,انگشت,Body,
arm,bâzu,بازو,Body,
hand,dast,دست,Body,
armpit,zirbaghal,زیربغل,Body,
forearm,sâed,ساعد,Body,
shoulder,shâne,شانه,Body,
thumb,shast,شست,Body,
palm,kaf-e dast,کف دست,Body,
wrist,moch,مچ,Body,
nail,nâkhon,ناخن,Body,
toe,angosht-e pâ,انگشت پا,Body,
foot,pâ,پا,Body,
heel,pâshne,پاشنه,Body,
thigh,rân,ران,Body,
knee,zânu,زانو,Body,
calf,sâgh,ساق,Body,
ankle,ghuzak,قوزک,Body,
sole,kaf-e pâ,کف پا,Body,
color,rang,رنگ,Colors,
sky blue,âbi-ye âsemâni,آبی آسمانی,Colors,
blue,âbi,آبی,Colors,
brick red,âjori,آجری,Colors,
purple,arghavâni,ارغوانی,Colors,
beige,bezh,بژ,Colors,
violet,banafsh,بنفش,Colors,
gray,khâkestari,خاکستری,Colors,
khaki,khâki,خاکی,Colors,
date brown,khormâyi,خرمایی,Colors,
yellow,zard,زرد,Colors,
crimson,zereshki,زرشکی,Colors,
olive,zeytuni,زیتونی,Colors,
green,sabz,سبز,Colors,
vivid red,sorkh,سرخ,Colors,
navy blue,sormeyi,سرمه‌ای,Colors,
white,sefid,سفید,Colors,
black,siyâh,سیاه,Colors,
claret,sharâbi,شرابی,Colors,
chocolate brown,shokolâti,شکلاتی,Colors,
milky,shiri,شیری,Colors,
pink,surati,صورتی,Colors,
gold,talâyi,طلایی,Colors,
turquoise,firuzeyi,فیروزه‌ای,Colors,
red,ghermez,قرمز,Colors,
brown,ghahveyi,قهوه‌ای,Colors,
cream,kerem,کرم,Colors,
azure,lâjevardi,لاجوردی,Colors,
lemon,limuyi,لیمویی,Colors,
black,meshki,مشکی,Colors,
orange,nârenji,نارنجی,Colors,
silver,noghreyi,نقره‌ای,Colors,
indigo,nili,نیلی,Colors,
ruby,yâghuti,یاقوتی,Colors,
jade green,yashmi,یشمی,Colors,
north,shomâl,شمال,Directions,
south,jonub,جنوب,Directions,
east,shargh,شرق,Directions,
west,gharb,غرب,Directions,
northeast,shomâl-e sharghi,شمال شرقی,Directions,
northwest,shomâl-e gharbi,شمال غربی,Directions,
southeast,jonub-e sharghi,جنوب شرقی,Directions,
southwest,jonub-e gharbi,جنوب غربی,Directions,
